model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
c1,none,3fa9484,2,1,2,0.2812,0.0417,0.6962,0.5949,,,70,216.8,0.1
c1,bn,3fa9484,2,1,2,0.3056,0.0741,0.7431,0.6574,,,70,216.8,0.2
c1,none,3fa9484,2,2,3,0.7031,0.6042,0.3247,0.0995,,,103,271.7,0.1
c1,bn,3fa9484,2,2,3,0.7708,0.6944,0.3281,0.1042,,,103,271.7,0.2
c1,none,3fa9484,2,3,4,0.3663,0.1551,0.7431,0.6574,,,148,350.8,0.1
c1,bn,3fa9484,2,3,4,0.4236,0.2315,0.7153,0.6204,,,148,350.8,0.2
c1,none,3fa9484,2,4,5,0.316,0.088,0.3524,0.1366,,,88,244.2,0.1
c1,bn,3fa9484,2,4,5,0.375,0.1667,0.434,0.2454,,,88,244.2,0.3
c1,none,3fa9484,2,5,6,0.4115,0.2153,0.3333,0.1111,,,72,217.7,0.1
c1,bn,3fa9484,2,5,6,0.4375,0.25,0.3628,0.1505,,,72,217.7,0.2
c1,none,3fa9484,2,6,7,0.3628,0.1505,0.408,0.2106,,,103,272.6,0.1
c1,bn,3fa9484,2,6,7,0.533,0.3773,0.4427,0.2569,,,103,272.6,0.2
c1,none,3fa9484,2,7,8,0.6493,0.5324,0.2847,0.0463,,,223,484.1,0.1
c1,bn,3fa9484,2,7,8,0.6701,0.5602,0.4288,0.2384,,,223,484.1,0.2
c1,none,3fa9484,2,8,9,0.4931,0.3241,0.5694,0.4259,,,112,298.6,0.1
c1,bn,3fa9484,2,8,9,0.5764,0.4352,0.6476,0.5301,,,112,298.6,0.2
c1,none,3fa9484,2,9,1,0.7309,0.6412,0.5434,0.3912,,,130,330.4,0.1
c1,bn,3fa9484,2,9,1,0.7726,0.6968,0.5295,0.3727,,,130,330.4,0.2
