run,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,stop_set_acc,best_epoch,stopped_at,n_fit,n_stop,seconds
step0,4dce4d8,2,1,2,0.349,0.1319,0.7326,0.6435,0.7728,74,124,3439,383,226.1
step0,4dce4d8,2,2,3,0.7899,0.7199,0.3194,0.0926,0.7337,48,98,3445,383,175.4
step0,4dce4d8,2,3,4,0.3576,0.1435,0.75,0.6667,0.7618,124,174,3434,382,315.1
step0,4dce4d8,2,4,5,0.3472,0.1296,0.3924,0.1898,0.8294,62,112,3429,381,211.7
step0,4dce4d8,2,5,6,0.3958,0.1944,0.3177,0.0903,0.7974,69,119,3458,385,232.4
step0,4dce4d8,2,6,7,0.3281,0.1042,0.4045,0.206,0.7948,119,169,3458,385,326.5
step0,4dce4d8,2,7,8,0.6736,0.5648,0.3802,0.1736,0.7448,134,184,3447,384,354.4
step0,4dce4d8,2,8,9,0.5677,0.4236,0.6007,0.4676,0.7211,152,202,3577,398,405.9
step0,4dce4d8,2,9,1,0.7361,0.6481,0.6545,0.5394,0.7071,103,153,3556,396,306.9
