run,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,stop_set_acc,best_epoch,stopped_at,n_fit,n_stop,seconds
step0,4dce4d8,1,1,2,0.3351,0.1134,0.7066,0.6088,0.7285,90,140,3439,383,256.5
step0,4dce4d8,1,2,3,0.7847,0.713,0.2812,0.0417,0.7285,113,163,3445,383,380.8
step0,4dce4d8,1,3,4,0.3681,0.1574,0.75,0.6667,0.7801,151,201,3434,382,469.3
step0,4dce4d8,1,4,5,0.3681,0.1574,0.3542,0.1389,0.7874,129,179,3429,381,398.1
step0,4dce4d8,1,5,6,0.4201,0.2269,0.3524,0.1366,0.8208,259,309,3458,385,696.5
step0,4dce4d8,1,6,7,0.3264,0.1019,0.4184,0.2245,0.8026,138,188,3458,385,373.4
step0,4dce4d8,1,7,8,0.6528,0.537,0.3715,0.162,0.7604,159,209,3447,384,391.7
step0,4dce4d8,1,8,9,0.5278,0.3704,0.6128,0.4838,0.691,118,168,3577,398,318.7
step0,4dce4d8,1,9,1,0.684,0.5787,0.6094,0.4792,0.7348,73,123,3556,396,231.0
