model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
c2,none,3657608,2,1,2,0.3212,0.0949,0.7569,0.6759,,,46,172.5,0.1
c2,bn,3657608,2,1,2,0.3038,0.0718,0.7552,0.6736,,,46,172.5,0.2
c2,tent,3657608,2,1,2,0.3125,0.0833,0.7413,0.6551,,,46,172.5,0.5
c2,pl80,3657608,2,1,2,0.3177,0.0903,0.7396,0.6528,200,327,46,172.5,2.6
c2,pl90,3657608,2,1,2,0.3247,0.0995,0.7326,0.6435,88,208,46,172.5,1.8
c2,none,3657608,2,2,3,0.7587,0.6782,0.2951,0.0602,,,40,233.6,0.2
c2,bn,3657608,2,2,3,0.7656,0.6875,0.316,0.088,,,40,233.6,0.4
c2,tent,3657608,2,2,3,0.7691,0.6921,0.3125,0.0833,,,40,233.6,0.9
c2,pl80,3657608,2,2,3,0.7726,0.6968,0.3003,0.0671,326,200,40,233.6,3.4
c2,pl90,3657608,2,2,3,0.7674,0.6898,0.3125,0.0833,201,81,40,233.6,2.0
c2,none,3657608,2,3,4,0.3819,0.1759,0.7604,0.6806,,,134,498.6,0.1
c2,bn,3657608,2,3,4,0.4219,0.2292,0.7691,0.6921,,,134,498.6,0.4
c2,tent,3657608,2,3,4,0.4201,0.2269,0.7812,0.7083,,,134,498.6,0.9
c2,pl80,3657608,2,3,4,0.3628,0.1505,0.7743,0.6991,288,353,134,498.6,4.0
c2,pl90,3657608,2,3,4,0.3663,0.1551,0.7726,0.6968,170,236,134,498.6,2.7
c2,none,3657608,2,4,5,0.349,0.1319,0.3924,0.1898,,,62,250.9,0.1
c2,bn,3657608,2,4,5,0.4045,0.206,0.4306,0.2407,,,62,250.9,0.3
c2,tent,3657608,2,4,5,0.3958,0.1944,0.4253,0.2338,,,62,250.9,0.8
c2,pl80,3657608,2,4,5,0.3472,0.1296,0.3819,0.1759,284,307,62,250.9,3.3
c2,pl90,3657608,2,4,5,0.3472,0.1296,0.3837,0.1782,170,193,62,250.9,1.8
c2,none,3657608,2,5,6,0.3976,0.1968,0.3212,0.0949,,,69,218.1,0.1
c2,bn,3657608,2,5,6,0.4635,0.2847,0.3819,0.1759,,,69,218.1,0.2
c2,tent,3657608,2,5,6,0.4653,0.287,0.3837,0.1782,,,69,218.1,0.6
c2,pl80,3657608,2,5,6,0.3958,0.1944,0.3299,0.1065,308,195,69,218.1,2.6
c2,pl90,3657608,2,5,6,0.4132,0.2176,0.3611,0.1481,183,66,69,218.1,1.4
c2,none,3657608,2,6,7,0.3351,0.1134,0.4392,0.2523,,,96,267.1,0.1
c2,bn,3657608,2,6,7,0.5122,0.3495,0.4948,0.3264,,,96,267.1,0.2
c2,tent,3657608,2,6,7,0.5295,0.3727,0.4931,0.3241,,,96,267.1,0.6
c2,pl80,3657608,2,6,7,0.4149,0.2199,0.4514,0.2685,213,312,96,267.1,2.8
c2,pl90,3657608,2,6,7,0.4288,0.2384,0.4514,0.2685,94,188,96,267.1,1.5
c2,none,3657608,2,7,8,0.6615,0.5486,0.3819,0.1759,,,211,472.1,0.1
c2,bn,3657608,2,7,8,0.6528,0.537,0.5139,0.3519,,,211,472.1,0.2
c2,tent,3657608,2,7,8,0.6667,0.5556,0.5174,0.3565,,,211,472.1,0.7
c2,pl80,3657608,2,7,8,0.6684,0.5579,0.4531,0.2708,292,231,211,472.1,2.7
c2,pl90,3657608,2,7,8,0.6562,0.5417,0.4566,0.2755,181,118,211,472.1,1.5
c2,none,3657608,2,8,9,0.5469,0.3958,0.625,0.5,,,147,379.3,0.1
c2,bn,3657608,2,8,9,0.5833,0.4444,0.6233,0.4977,,,147,379.3,0.2
c2,tent,3657608,2,8,9,0.5972,0.463,0.6233,0.4977,,,147,379.3,0.6
c2,pl80,3657608,2,8,9,0.5278,0.3704,0.651,0.5347,256,300,147,379.3,2.8
c2,pl90,3657608,2,8,9,0.5469,0.3958,0.6424,0.5231,147,196,147,379.3,1.8
c2,none,3657608,2,9,1,0.7361,0.6481,0.6562,0.5417,,,103,295.6,0.1
c2,bn,3657608,2,9,1,0.7396,0.6528,0.6684,0.5579,,,103,295.6,0.2
c2,tent,3657608,2,9,1,0.7344,0.6458,0.6771,0.5694,,,103,295.6,0.6
c2,pl80,3657608,2,9,1,0.7309,0.6412,0.6615,0.5486,347,318,103,295.6,3.3
c2,pl90,3657608,2,9,1,0.724,0.6319,0.6406,0.5208,220,209,103,295.6,2.0
