run,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,stop_set_acc,best_epoch,stopped_at,n_fit,n_stop,seconds
step1_eegnet_lw,558e8aa,0,1,2,0.283,0.044,0.6962,0.5949,0.7363,84,134,3439,383,135.9
step1_eegnet_lw,558e8aa,0,2,3,0.7413,0.6551,0.3212,0.0949,0.705,87,137,3445,383,134.0
step1_eegnet_lw,558e8aa,0,3,4,0.4306,0.2407,0.7812,0.7083,0.6963,37,87,3434,382,85.3
step1_eegnet_lw,558e8aa,0,4,5,0.3455,0.1273,0.4479,0.2639,0.7559,28,78,3429,381,76.6
step1_eegnet_lw,558e8aa,0,5,6,0.4948,0.3264,0.3368,0.1157,0.7636,111,161,3458,385,158.1
step1_eegnet_lw,558e8aa,0,6,7,0.4514,0.2685,0.4896,0.3194,0.7844,52,102,3458,385,100.4
step1_eegnet_lw,558e8aa,0,7,8,0.6545,0.5394,0.3698,0.1597,0.7057,36,86,3447,384,84.3
step1_eegnet_lw,558e8aa,0,8,9,0.5139,0.3519,0.6476,0.5301,0.6935,109,159,3577,398,160.5
step1_eegnet_lw,558e8aa,0,9,1,0.7222,0.6296,0.6476,0.5301,0.6894,41,91,3556,396,92.1
