model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
bnorm,none,6325455,1,1,2,0.2847,0.0463,0.6823,0.5764,,,53,227.3,0.1
bnorm,bn,6325455,1,1,2,0.2865,0.0486,0.6337,0.5116,,,53,227.3,0.3
bnorm,none,6325455,1,2,3,0.7448,0.6597,0.2552,0.0069,,,10,129.8,0.1
bnorm,bn,6325455,1,2,3,0.7778,0.7037,0.2535,0.0046,,,10,129.8,0.2
bnorm,none,6325455,1,3,4,0.3021,0.0694,0.7188,0.625,,,48,210.1,0.1
bnorm,bn,6325455,1,3,4,0.3108,0.081,0.7188,0.625,,,48,210.1,0.2
bnorm,none,6325455,1,4,5,0.309,0.0787,0.3559,0.1412,,,9,123.8,0.1
bnorm,bn,6325455,1,4,5,0.3194,0.0926,0.3941,0.1921,,,9,123.8,0.2
bnorm,none,6325455,1,5,6,0.3785,0.1713,0.3264,0.1019,,,22,148.9,0.1
bnorm,bn,6325455,1,5,6,0.4427,0.2569,0.3403,0.1204,,,22,148.9,0.2
bnorm,none,6325455,1,6,7,0.3524,0.1366,0.4115,0.2153,,,33,172.5,0.1
bnorm,bn,6325455,1,6,7,0.3594,0.1458,0.4479,0.2639,,,33,172.5,0.3
bnorm,none,6325455,1,7,8,0.6406,0.5208,0.3924,0.1898,,,20,140.8,0.1
bnorm,bn,6325455,1,7,8,0.6441,0.5255,0.3924,0.1898,,,20,140.8,0.2
bnorm,none,6325455,1,8,9,0.5035,0.338,0.6181,0.4907,,,95,313.4,0.1
bnorm,bn,6325455,1,8,9,0.5955,0.4606,0.6111,0.4815,,,95,313.4,0.3
bnorm,none,6325455,1,9,1,0.6545,0.5394,0.5972,0.463,,,22,164.8,0.1
bnorm,bn,6325455,1,9,1,0.6753,0.5671,0.6476,0.5301,,,22,164.8,0.2
