model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
c2,none,3657608,1,1,2,0.3299,0.1065,0.7101,0.6134,,,90,239.0,0.1
c2,bn,3657608,1,1,2,0.3177,0.0903,0.7483,0.6644,,,90,239.0,0.2
c2,tent,3657608,1,1,2,0.309,0.0787,0.7222,0.6296,,,90,239.0,0.4
c2,pl80,3657608,1,1,2,0.3385,0.1181,0.6962,0.5949,186,353,90,239.0,1.5
c2,pl90,3657608,1,1,2,0.3455,0.1273,0.717,0.6227,83,229,90,239.0,0.9
c2,none,3657608,1,2,3,0.7882,0.7176,0.283,0.044,,,84,225.5,0.1
c2,bn,3657608,1,2,3,0.776,0.7014,0.3056,0.0741,,,84,225.5,0.2
c2,tent,3657608,1,2,3,0.7778,0.7037,0.2882,0.0509,,,84,225.5,0.5
c2,pl80,3657608,1,2,3,0.8142,0.7523,0.2986,0.0648,360,218,84,225.5,1.6
c2,pl90,3657608,1,2,3,0.8056,0.7407,0.2917,0.0556,245,104,84,225.5,1.0
c2,none,3657608,1,3,4,0.3663,0.1551,0.7552,0.6736,,,151,336.8,0.1
c2,bn,3657608,1,3,4,0.4097,0.213,0.7917,0.7222,,,151,336.8,0.2
c2,tent,3657608,1,3,4,0.408,0.2106,0.8021,0.7361,,,151,336.8,0.4
c2,pl80,3657608,1,3,4,0.3507,0.1343,0.7882,0.7176,259,354,151,336.8,1.7
c2,pl90,3657608,1,3,4,0.3872,0.1829,0.7743,0.6991,127,259,151,336.8,1.1
c2,none,3657608,1,4,5,0.3646,0.1528,0.3438,0.125,,,142,321.2,0.1
c2,bn,3657608,1,4,5,0.3941,0.1921,0.4201,0.2269,,,142,321.2,0.2
c2,tent,3657608,1,4,5,0.3941,0.1921,0.4392,0.2523,,,142,321.2,0.4
c2,pl80,3657608,1,4,5,0.3663,0.1551,0.3559,0.1412,307,285,142,321.2,1.6
c2,pl90,3657608,1,4,5,0.3524,0.1366,0.3715,0.162,147,165,142,321.2,0.9
c2,none,3657608,1,5,6,0.4201,0.2269,0.3524,0.1366,,,259,521.1,0.1
c2,bn,3657608,1,5,6,0.4722,0.2963,0.3993,0.1991,,,259,521.1,0.2
c2,tent,3657608,1,5,6,0.4653,0.287,0.3906,0.1875,,,259,521.1,0.4
c2,pl80,3657608,1,5,6,0.4184,0.2245,0.3628,0.1505,325,329,259,521.1,1.8
c2,pl90,3657608,1,5,6,0.4184,0.2245,0.375,0.1667,186,216,259,521.1,1.1
c2,none,3657608,1,6,7,0.3281,0.1042,0.4149,0.2199,,,138,317.6,0.1
c2,bn,3657608,1,6,7,0.5017,0.3356,0.5,0.3333,,,138,317.6,0.2
c2,tent,3657608,1,6,7,0.5174,0.3565,0.4896,0.3194,,,138,317.6,0.4
c2,pl80,3657608,1,6,7,0.4028,0.2037,0.4271,0.2361,229,347,138,317.6,1.6
c2,pl90,3657608,1,6,7,0.4358,0.2477,0.4427,0.2569,139,222,138,317.6,1.1
c2,none,3657608,1,7,8,0.6528,0.537,0.3559,0.1412,,,110,491.1,0.2
c2,bn,3657608,1,7,8,0.6319,0.5093,0.441,0.2546,,,110,491.1,0.4
c2,tent,3657608,1,7,8,0.6337,0.5116,0.4253,0.2338,,,110,491.1,0.7
c2,pl80,3657608,1,7,8,0.6719,0.5625,0.408,0.2106,280,202,110,491.1,2.2
c2,pl90,3657608,1,7,8,0.6649,0.5532,0.3958,0.1944,180,93,110,491.1,1.4
c2,none,3657608,1,8,9,0.5278,0.3704,0.6285,0.5046,,,51,280.1,0.2
c2,bn,3657608,1,8,9,0.5521,0.4028,0.6267,0.5023,,,51,280.1,0.3
c2,tent,3657608,1,8,9,0.566,0.4213,0.6128,0.4838,,,51,280.1,0.7
c2,pl80,3657608,1,8,9,0.4896,0.3194,0.6372,0.5162,246,264,51,280.1,2.3
c2,pl90,3657608,1,8,9,0.5035,0.338,0.6267,0.5023,142,155,51,280.1,1.5
c2,none,3657608,1,9,1,0.717,0.6227,0.625,0.5,,,77,232.8,0.1
c2,bn,3657608,1,9,1,0.7118,0.6157,0.6545,0.5394,,,77,232.8,0.2
c2,tent,3657608,1,9,1,0.7205,0.6273,0.6615,0.5486,,,77,232.8,0.7
c2,pl80,3657608,1,9,1,0.717,0.6227,0.6302,0.5069,274,297,77,232.8,3.1
c2,pl90,3657608,1,9,1,0.7014,0.6019,0.6233,0.4977,148,176,77,232.8,1.7
