model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
c1,none,3fa9484,0,1,2,0.3108,0.081,0.724,0.6319,,,240,516.8,0.1
c1,bn,3fa9484,0,1,2,0.3819,0.1759,0.7413,0.6551,,,240,516.8,0.2
c1,none,3fa9484,0,2,3,0.7361,0.6481,0.3854,0.1806,,,57,190.3,0.1
c1,bn,3fa9484,0,2,3,0.7431,0.6574,0.3767,0.169,,,57,190.3,0.2
c1,none,3fa9484,0,3,4,0.4028,0.2037,0.7778,0.7037,,,58,191.6,0.1
c1,bn,3fa9484,0,3,4,0.434,0.2454,0.8021,0.7361,,,58,191.6,0.2
c1,none,3fa9484,0,4,5,0.3368,0.1157,0.3472,0.1296,,,51,178.9,0.1
c1,bn,3fa9484,0,4,5,0.3576,0.1435,0.4427,0.2569,,,51,178.9,0.2
c1,none,3fa9484,0,5,6,0.3976,0.1968,0.342,0.1227,,,124,310.0,0.1
c1,bn,3fa9484,0,5,6,0.4688,0.2917,0.3819,0.1759,,,124,310.0,0.2
c1,none,3fa9484,0,6,7,0.3073,0.0764,0.4323,0.2431,,,62,200.2,0.1
c1,bn,3fa9484,0,6,7,0.4722,0.2963,0.4549,0.2731,,,62,200.2,0.2
c1,none,3fa9484,0,7,8,0.6615,0.5486,0.3594,0.1458,,,222,483.3,0.1
c1,bn,3fa9484,0,7,8,0.6753,0.5671,0.4861,0.3148,,,222,483.3,0.2
c1,none,3fa9484,0,8,9,0.5295,0.3727,0.6094,0.4792,,,104,284.7,0.1
c1,bn,3fa9484,0,8,9,0.5938,0.4583,0.6163,0.4884,,,104,284.7,0.2
c1,none,3fa9484,0,9,1,0.6875,0.5833,0.5521,0.4028,,,22,132.9,0.1
c1,bn,3fa9484,0,9,1,0.717,0.6227,0.566,0.4213,,,22,132.9,0.3
