model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
eegnet,none,3657608,1,1,2,0.2899,0.0532,0.6997,0.5995,,,26,82.8,0.1
eegnet,bn,3657608,1,1,2,0.276,0.0347,0.7639,0.6852,,,26,82.8,0.1
eegnet,tent,3657608,1,1,2,0.276,0.0347,0.7431,0.6574,,,26,82.8,0.3
eegnet,pl80,3657608,1,1,2,0.2847,0.0463,0.717,0.6227,49,279,26,82.8,1.0
eegnet,pl90,3657608,1,1,2,0.2899,0.0532,0.7188,0.625,0,173,26,82.8,0.6
eegnet,none,3657608,1,2,3,0.8073,0.7431,0.309,0.0787,,,18,69.8,0.1
eegnet,bn,3657608,1,2,3,0.8125,0.75,0.3125,0.0833,,,18,69.8,0.1
eegnet,tent,3657608,1,2,3,0.8177,0.7569,0.3073,0.0764,,,18,69.8,0.3
eegnet,pl80,3657608,1,2,3,0.8142,0.7523,0.3038,0.0718,225,42,18,69.8,0.8
eegnet,pl90,3657608,1,2,3,0.8073,0.7431,0.309,0.0787,88,0,18,69.8,0.4
eegnet,none,3657608,1,3,4,0.4149,0.2199,0.7708,0.6944,,,26,77.4,0.1
eegnet,bn,3657608,1,3,4,0.434,0.2454,0.7552,0.6736,,,26,77.4,0.1
eegnet,tent,3657608,1,3,4,0.4392,0.2523,0.7622,0.6829,,,26,77.4,0.3
eegnet,pl80,3657608,1,3,4,0.408,0.2106,0.7847,0.713,57,201,26,77.4,0.8
eegnet,pl90,3657608,1,3,4,0.4028,0.2037,0.7812,0.7083,16,77,26,77.4,0.5
eegnet,none,3657608,1,4,5,0.3368,0.1157,0.4306,0.2407,,,30,81.0,0.1
eegnet,bn,3657608,1,4,5,0.3854,0.1806,0.4722,0.2963,,,30,81.0,0.2
eegnet,tent,3657608,1,4,5,0.3819,0.1759,0.4688,0.2917,,,30,81.0,0.3
eegnet,pl80,3657608,1,4,5,0.3507,0.1343,0.4271,0.2361,76,87,30,81.0,0.6
eegnet,pl90,3657608,1,4,5,0.3368,0.1157,0.4323,0.2431,0,33,30,81.0,0.3
eegnet,none,3657608,1,5,6,0.467,0.2894,0.3472,0.1296,,,35,86.6,0.1
eegnet,bn,3657608,1,5,6,0.4965,0.3287,0.3889,0.1852,,,35,86.6,0.1
eegnet,tent,3657608,1,5,6,0.5035,0.338,0.3924,0.1898,,,35,86.6,0.3
eegnet,pl80,3657608,1,5,6,0.4705,0.294,0.3455,0.1273,123,79,35,86.6,0.6
eegnet,pl90,3657608,1,5,6,0.4688,0.2917,0.3472,0.1296,43,0,35,86.6,0.3
eegnet,none,3657608,1,6,7,0.5104,0.3472,0.4792,0.3056,,,31,82.8,0.1
eegnet,bn,3657608,1,6,7,0.5486,0.3981,0.4948,0.3264,,,31,82.8,0.1
eegnet,tent,3657608,1,6,7,0.5486,0.3981,0.4931,0.3241,,,31,82.8,0.3
eegnet,pl80,3657608,1,6,7,0.5087,0.3449,0.4792,0.3056,59,96,31,82.8,0.6
eegnet,pl90,3657608,1,6,7,0.5104,0.3472,0.4809,0.3079,0,24,31,82.8,0.3
eegnet,none,3657608,1,7,8,0.658,0.544,0.3559,0.1412,,,76,126.7,0.1
eegnet,bn,3657608,1,7,8,0.6701,0.5602,0.408,0.2106,,,76,126.7,0.1
eegnet,tent,3657608,1,7,8,0.6753,0.5671,0.4132,0.2176,,,76,126.7,0.3
eegnet,pl80,3657608,1,7,8,0.6632,0.5509,0.3524,0.1366,132,73,76,126.7,0.7
eegnet,pl90,3657608,1,7,8,0.6632,0.5509,0.3628,0.1505,57,29,76,126.7,0.4
eegnet,none,3657608,1,8,9,0.5608,0.4144,0.6736,0.5648,,,82,137.3,0.1
eegnet,bn,3657608,1,8,9,0.6198,0.4931,0.6684,0.5579,,,82,137.3,0.1
eegnet,tent,3657608,1,8,9,0.6233,0.4977,0.6684,0.5579,,,82,137.3,0.3
eegnet,pl80,3657608,1,8,9,0.5851,0.4468,0.6771,0.5694,215,163,82,137.3,1.1
eegnet,pl90,3657608,1,8,9,0.5608,0.4144,0.6753,0.5671,119,80,82,137.3,0.7
eegnet,none,3657608,1,9,1,0.6979,0.5972,0.6042,0.4722,,,18,72.1,0.1
eegnet,bn,3657608,1,9,1,0.7326,0.6435,0.6632,0.5509,,,18,72.1,0.1
eegnet,tent,3657608,1,9,1,0.7257,0.6343,0.6719,0.5625,,,18,72.1,0.3
eegnet,pl80,3657608,1,9,1,0.7049,0.6065,0.5764,0.4352,194,177,18,72.1,1.1
eegnet,pl90,3657608,1,9,1,0.7014,0.6019,0.5608,0.4144,106,95,18,72.1,0.7
