model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
c2,none,3657608,0,1,2,0.3628,0.1505,0.7344,0.6458,,,185,402.4,0.1
c2,bn,3657608,0,1,2,0.3542,0.1389,0.7448,0.6597,,,185,402.4,0.2
c2,tent,3657608,0,1,2,0.3438,0.125,0.7188,0.625,,,185,402.4,0.4
c2,pl80,3657608,0,1,2,0.3576,0.1435,0.7188,0.625,235,382,185,402.4,1.7
c2,pl90,3657608,0,1,2,0.3628,0.1505,0.7257,0.6343,122,282,185,402.4,1.2
c2,none,3657608,0,2,3,0.7378,0.6505,0.3212,0.0949,,,103,257.6,0.1
c2,bn,3657608,0,2,3,0.7622,0.6829,0.3125,0.0833,,,103,257.6,0.2
c2,tent,3657608,0,2,3,0.7691,0.6921,0.3021,0.0694,,,103,257.6,0.4
c2,pl80,3657608,0,2,3,0.7934,0.7245,0.316,0.088,330,182,103,257.6,1.5
c2,pl90,3657608,0,2,3,0.7795,0.706,0.3021,0.0694,204,90,103,257.6,0.9
c2,none,3657608,0,3,4,0.3698,0.1597,0.7847,0.713,,,174,375.2,0.1
c2,bn,3657608,0,3,4,0.4097,0.213,0.783,0.7106,,,174,375.2,0.2
c2,tent,3657608,0,3,4,0.3976,0.1968,0.8003,0.7338,,,174,375.2,0.4
c2,pl80,3657608,0,3,4,0.3733,0.1644,0.8177,0.7569,229,355,174,375.2,1.6
c2,pl90,3657608,0,3,4,0.3628,0.1505,0.8073,0.7431,118,224,174,375.2,1.1
c2,none,3657608,0,4,5,0.3247,0.0995,0.3837,0.1782,,,91,236.3,0.1
c2,bn,3657608,0,4,5,0.3507,0.1343,0.4219,0.2292,,,91,236.3,0.2
c2,tent,3657608,0,4,5,0.3559,0.1412,0.4288,0.2384,,,91,236.3,0.4
c2,pl80,3657608,0,4,5,0.3299,0.1065,0.3889,0.1852,296,189,91,236.3,1.3
c2,pl90,3657608,0,4,5,0.342,0.1227,0.3819,0.1759,179,81,91,236.3,0.8
c2,none,3657608,0,5,6,0.3767,0.169,0.3438,0.125,,,151,339.9,0.1
c2,bn,3657608,0,5,6,0.474,0.2986,0.3889,0.1852,,,151,339.9,0.2
c2,tent,3657608,0,5,6,0.4757,0.3009,0.3906,0.1875,,,151,339.9,0.4
c2,pl80,3657608,0,5,6,0.3576,0.1435,0.3715,0.162,316,244,151,339.9,1.5
c2,pl90,3657608,0,5,6,0.3854,0.1806,0.3715,0.162,172,116,151,339.9,0.9
c2,none,3657608,0,6,7,0.3733,0.1644,0.4097,0.213,,,31,137.4,0.1
c2,bn,3657608,0,6,7,0.4844,0.3125,0.4583,0.2778,,,31,137.4,0.2
c2,tent,3657608,0,6,7,0.4948,0.3264,0.4444,0.2593,,,31,137.4,0.4
c2,pl80,3657608,0,6,7,0.4184,0.2245,0.3993,0.1991,165,243,31,137.4,1.2
c2,pl90,3657608,0,6,7,0.4566,0.2755,0.4149,0.2199,70,134,31,137.4,0.7
c2,none,3657608,0,7,8,0.6493,0.5324,0.3316,0.1088,,,84,225.6,0.1
c2,bn,3657608,0,7,8,0.6753,0.5671,0.4479,0.2639,,,84,225.6,0.2
c2,tent,3657608,0,7,8,0.684,0.5787,0.4566,0.2755,,,84,225.6,0.4
c2,pl80,3657608,0,7,8,0.684,0.5787,0.401,0.2014,290,181,84,225.6,1.3
c2,pl90,3657608,0,7,8,0.6719,0.5625,0.3941,0.1921,167,86,84,225.6,0.8
c2,none,3657608,0,8,9,0.5833,0.4444,0.6389,0.5185,,,92,249.0,0.2
c2,bn,3657608,0,8,9,0.6163,0.4884,0.6562,0.5417,,,92,249.0,0.2
c2,tent,3657608,0,8,9,0.6076,0.4769,0.651,0.5347,,,92,249.0,0.4
c2,pl80,3657608,0,8,9,0.6007,0.4676,0.6719,0.5625,264,295,92,249.0,1.5
c2,pl90,3657608,0,8,9,0.559,0.412,0.6632,0.5509,152,186,92,249.0,1.0
c2,none,3657608,0,9,1,0.7535,0.6713,0.6493,0.5324,,,55,183.3,0.1
c2,bn,3657608,0,9,1,0.7309,0.6412,0.6441,0.5255,,,55,183.3,0.2
c2,tent,3657608,0,9,1,0.7431,0.6574,0.6354,0.5139,,,55,183.3,0.4
c2,pl80,3657608,0,9,1,0.7483,0.6644,0.6753,0.5671,302,290,55,183.3,1.6
c2,pl90,3657608,0,9,1,0.7222,0.6296,0.6493,0.5324,179,166,55,183.3,1.0
