run,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,stop_set_acc,best_epoch,stopped_at,n_fit,n_stop,seconds
step1_eegnet_noalign,d186505,0,1,2,0.2639,0.0185,0.6076,0.4769,0.7023,164,214,3439,383,214.8
step1_eegnet_noalign,d186505,0,2,3,0.6285,0.5046,0.2986,0.0648,0.6684,168,218,3445,383,217.5
step1_eegnet_noalign,d186505,0,3,4,0.4201,0.2269,0.658,0.544,0.6597,205,255,3434,382,253.8
step1_eegnet_noalign,d186505,0,4,5,0.2587,0.0116,0.4253,0.2338,0.7218,71,121,3429,381,122.5
step1_eegnet_noalign,d186505,0,5,6,0.2674,0.0231,0.2587,0.0116,0.7169,49,99,3458,385,101.3
step1_eegnet_noalign,d186505,0,6,7,0.3038,0.0718,0.2639,0.0185,0.6675,27,77,3458,385,79.3
step1_eegnet_noalign,d186505,0,7,8,0.6198,0.4931,0.2656,0.0208,0.6198,67,117,3447,384,118.7
step1_eegnet_noalign,d186505,0,8,9,0.4219,0.2292,0.5139,0.3519,0.6055,84,134,3577,398,150.6
step1_eegnet_noalign,d186505,0,9,1,0.5903,0.4537,0.5347,0.3796,0.6263,176,226,3556,396,237.8
