model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
base,none,3fa9484,2,1,2,0.349,0.1319,0.7031,0.6042,,,206,458.2,0.1
base,bn,3fa9484,2,1,2,0.349,0.1319,0.7309,0.6412,,,206,458.2,0.2
base,none,3fa9484,2,2,3,0.7413,0.6551,0.3073,0.0764,,,96,259.3,0.1
base,bn,3fa9484,2,2,3,0.7795,0.706,0.3264,0.1019,,,96,259.3,0.2
base,none,3fa9484,2,3,4,0.3472,0.1296,0.7604,0.6806,,,187,419.8,0.1
base,bn,3fa9484,2,3,4,0.4062,0.2083,0.7656,0.6875,,,187,419.8,0.2
base,none,3fa9484,2,4,5,0.3247,0.0995,0.3576,0.1435,,,211,461.5,0.1
base,bn,3fa9484,2,4,5,0.349,0.1319,0.4392,0.2523,,,211,461.5,0.2
base,none,3fa9484,2,5,6,0.3837,0.1782,0.3177,0.0903,,,111,287.6,0.2
base,bn,3fa9484,2,5,6,0.4688,0.2917,0.3385,0.1181,,,111,287.6,0.2
base,none,3fa9484,2,6,7,0.3507,0.1343,0.3438,0.125,,,94,257.0,0.1
base,bn,3fa9484,2,6,7,0.5,0.3333,0.4705,0.294,,,94,257.0,0.2
base,none,3fa9484,2,7,8,0.6649,0.5532,0.3438,0.125,,,62,199.2,0.1
base,bn,3fa9484,2,7,8,0.6962,0.5949,0.4757,0.3009,,,62,199.2,0.2
base,none,3fa9484,2,8,9,0.5451,0.3935,0.6267,0.5023,,,133,338.1,0.1
base,bn,3fa9484,2,8,9,0.5851,0.4468,0.625,0.5,,,133,338.1,0.2
base,none,3fa9484,2,9,1,0.684,0.5787,0.5642,0.419,,,100,276.1,0.1
base,bn,3fa9484,2,9,1,0.7222,0.6296,0.5781,0.4375,,,100,276.1,0.2
