run,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,stop_set_acc,best_epoch,stopped_at,n_fit,n_stop,seconds
step1_eegnet,d186505,0,1,2,0.2865,0.0486,0.684,0.5787,0.7311,26,76,3439,383,145.9
step1_eegnet,d186505,0,2,3,0.7622,0.6829,0.3108,0.081,0.705,66,116,3445,383,149.5
step1_eegnet,d186505,0,3,4,0.4288,0.2384,0.7795,0.706,0.699,37,87,3434,382,111.6
step1_eegnet,d186505,0,4,5,0.3472,0.1296,0.4462,0.2616,0.7612,28,78,3429,381,87.7
step1_eegnet,d186505,0,5,6,0.5,0.3333,0.3247,0.0995,0.7636,159,209,3458,385,212.9
step1_eegnet,d186505,0,6,7,0.4497,0.2662,0.4757,0.3009,0.7896,78,128,3458,385,130.5
step1_eegnet,d186505,0,7,8,0.6528,0.537,0.3681,0.1574,0.7057,36,86,3447,384,88.0
step1_eegnet,d186505,0,8,9,0.5104,0.3472,0.6476,0.5301,0.6935,109,159,3577,398,165.9
step1_eegnet,d186505,0,9,1,0.7205,0.6273,0.6337,0.5116,0.6894,38,88,3556,396,93.3
