model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
base,none,3fa9484,1,1,2,0.2865,0.0486,0.684,0.5787,,,221,483.7,0.1
base,bn,3fa9484,1,1,2,0.3576,0.1435,0.7153,0.6204,,,221,483.7,0.2
base,none,3fa9484,1,2,3,0.7917,0.7222,0.3247,0.0995,,,162,375.9,0.1
base,bn,3fa9484,1,2,3,0.7969,0.7292,0.3559,0.1412,,,162,375.9,0.2
base,none,3fa9484,1,3,4,0.3924,0.1898,0.8056,0.7407,,,128,314.2,0.1
base,bn,3fa9484,1,3,4,0.4097,0.213,0.7795,0.706,,,128,314.2,0.2
base,none,3fa9484,1,4,5,0.3264,0.1019,0.3108,0.081,,,110,282.9,0.1
base,bn,3fa9484,1,4,5,0.3628,0.1505,0.4358,0.2477,,,110,282.9,0.2
base,none,3fa9484,1,5,6,0.3628,0.1505,0.3247,0.0995,,,132,323.9,0.1
base,bn,3fa9484,1,5,6,0.4444,0.2593,0.3472,0.1296,,,132,323.9,0.2
base,none,3fa9484,1,6,7,0.342,0.1227,0.375,0.1667,,,174,398.8,0.1
base,bn,3fa9484,1,6,7,0.5295,0.3727,0.4653,0.287,,,174,398.8,0.2
base,none,3fa9484,1,7,8,0.6719,0.5625,0.3438,0.125,,,91,251.0,0.1
base,bn,3fa9484,1,7,8,0.6701,0.5602,0.4601,0.2801,,,91,251.0,0.2
base,none,3fa9484,1,8,9,0.4635,0.2847,0.6267,0.5023,,,118,310.6,0.1
base,bn,3fa9484,1,8,9,0.5069,0.3426,0.658,0.544,,,118,310.6,0.2
base,none,3fa9484,1,9,1,0.7188,0.625,0.5503,0.4005,,,75,229.9,0.1
base,bn,3fa9484,1,9,1,0.7604,0.6806,0.5226,0.3634,,,75,229.9,0.2
