model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
bnorm,none,6325455,0,1,2,0.2951,0.0602,0.7326,0.6435,,,31,187.2,0.1
bnorm,bn,6325455,0,1,2,0.2951,0.0602,0.7031,0.6042,,,31,187.2,0.3
bnorm,none,6325455,0,2,3,0.691,0.588,0.276,0.0347,,,28,187.9,0.1
bnorm,bn,6325455,0,2,3,0.7066,0.6088,0.2778,0.037,,,28,187.9,0.3
bnorm,none,6325455,0,3,4,0.3993,0.1991,0.6892,0.5856,,,25,178.1,0.1
bnorm,bn,6325455,0,3,4,0.4288,0.2384,0.7031,0.6042,,,25,178.1,0.3
bnorm,none,6325455,0,4,5,0.3611,0.1481,0.3559,0.1412,,,16,161.2,0.1
bnorm,bn,6325455,0,4,5,0.375,0.1667,0.3819,0.1759,,,16,161.2,0.3
bnorm,none,6325455,0,5,6,0.401,0.2014,0.3438,0.125,,,57,241.5,0.2
bnorm,bn,6325455,0,5,6,0.4444,0.2593,0.3681,0.1574,,,57,241.5,0.3
bnorm,none,6325455,0,6,7,0.3368,0.1157,0.4531,0.2708,,,96,329.6,0.1
bnorm,bn,6325455,0,6,7,0.434,0.2454,0.4809,0.3079,,,96,329.6,0.3
bnorm,none,6325455,0,7,8,0.5608,0.4144,0.3299,0.1065,,,11,130.0,0.1
bnorm,bn,6325455,0,7,8,0.625,0.5,0.3785,0.1713,,,11,130.0,0.2
bnorm,none,6325455,0,8,9,0.4931,0.3241,0.5833,0.4444,,,49,229.5,0.1
bnorm,bn,6325455,0,8,9,0.5417,0.3889,0.6094,0.4792,,,49,229.5,0.2
bnorm,none,6325455,0,9,1,0.6493,0.5324,0.4705,0.294,,,17,155.9,0.1
bnorm,bn,6325455,0,9,1,0.5972,0.463,0.467,0.2894,,,17,155.9,0.2
