model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
eegnet,none,3657608,2,1,2,0.3733,0.1644,0.7153,0.6204,,,79,134.1,0.1
eegnet,bn,3657608,2,1,2,0.3819,0.1759,0.75,0.6667,,,79,134.1,0.1
eegnet,tent,3657608,2,1,2,0.3681,0.1574,0.7569,0.6759,,,79,134.1,0.3
eegnet,pl80,3657608,2,1,2,0.3802,0.1736,0.6997,0.5995,51,263,79,134.1,1.1
eegnet,pl90,3657608,2,1,2,0.3733,0.1644,0.717,0.6227,0,129,79,134.1,0.6
eegnet,none,3657608,2,2,3,0.7917,0.7222,0.3125,0.0833,,,28,79.4,0.1
eegnet,bn,3657608,2,2,3,0.8247,0.7662,0.3212,0.0949,,,28,79.4,0.1
eegnet,tent,3657608,2,2,3,0.8177,0.7569,0.3194,0.0926,,,28,79.4,0.3
eegnet,pl80,3657608,2,2,3,0.8125,0.75,0.3142,0.0856,217,33,28,79.4,0.8
eegnet,pl90,3657608,2,2,3,0.7917,0.7222,0.3125,0.0833,94,0,28,79.4,0.4
eegnet,none,3657608,2,3,4,0.4531,0.2708,0.7951,0.7269,,,85,134.4,0.1
eegnet,bn,3657608,2,3,4,0.4444,0.2593,0.7865,0.7153,,,85,134.4,0.1
eegnet,tent,3657608,2,3,4,0.4444,0.2593,0.7899,0.7199,,,85,134.4,0.3
eegnet,pl80,3657608,2,3,4,0.4323,0.2431,0.7951,0.7269,81,204,85,134.4,0.9
eegnet,pl90,3657608,2,3,4,0.4323,0.2431,0.8003,0.7338,24,99,85,134.4,0.5
eegnet,none,3657608,2,4,5,0.3715,0.162,0.4132,0.2176,,,62,112.0,0.1
eegnet,bn,3657608,2,4,5,0.3958,0.1944,0.4583,0.2778,,,62,112.0,0.1
eegnet,tent,3657608,2,4,5,0.3941,0.1921,0.4688,0.2917,,,62,112.0,0.3
eegnet,pl80,3657608,2,4,5,0.3681,0.1574,0.4236,0.2315,45,103,62,112.0,0.5
eegnet,pl90,3657608,2,4,5,0.3715,0.162,0.4271,0.2361,0,31,62,112.0,0.3
eegnet,none,3657608,2,5,6,0.4774,0.3032,0.3542,0.1389,,,55,106.4,0.1
eegnet,bn,3657608,2,5,6,0.4601,0.2801,0.3507,0.1343,,,55,106.4,0.1
eegnet,tent,3657608,2,5,6,0.4531,0.2708,0.3594,0.1458,,,55,106.4,0.3
eegnet,pl80,3657608,2,5,6,0.4757,0.3009,0.349,0.1319,104,85,55,106.4,0.6
eegnet,pl90,3657608,2,5,6,0.474,0.2986,0.3594,0.1458,39,19,55,106.4,0.4
eegnet,none,3657608,2,6,7,0.5,0.3333,0.4566,0.2755,,,37,89.2,0.1
eegnet,bn,3657608,2,6,7,0.5556,0.4074,0.4705,0.294,,,37,89.2,0.1
eegnet,tent,3657608,2,6,7,0.5399,0.3866,0.4722,0.2963,,,37,89.2,0.3
eegnet,pl80,3657608,2,6,7,0.5174,0.3565,0.467,0.2894,72,86,37,89.2,0.6
eegnet,pl90,3657608,2,6,7,0.5191,0.3588,0.467,0.2894,24,22,37,89.2,0.4
eegnet,none,3657608,2,7,8,0.6823,0.5764,0.408,0.2106,,,76,126.7,0.1
eegnet,bn,3657608,2,7,8,0.6736,0.5648,0.4462,0.2616,,,76,126.7,0.2
eegnet,tent,3657608,2,7,8,0.6823,0.5764,0.4375,0.25,,,76,126.7,0.4
eegnet,pl80,3657608,2,7,8,0.6979,0.5972,0.4062,0.2083,152,63,76,126.7,0.9
eegnet,pl90,3657608,2,7,8,0.6823,0.5764,0.408,0.2106,60,33,76,126.7,0.5
eegnet,none,3657608,2,8,9,0.5122,0.3495,0.6528,0.537,,,107,162.9,0.1
eegnet,bn,3657608,2,8,9,0.5885,0.4514,0.658,0.544,,,107,162.9,0.1
eegnet,tent,3657608,2,8,9,0.6024,0.4699,0.6615,0.5486,,,107,162.9,0.3
eegnet,pl80,3657608,2,8,9,0.5139,0.3519,0.6597,0.5463,213,200,107,162.9,1.2
eegnet,pl90,3657608,2,8,9,0.5069,0.3426,0.6476,0.5301,124,99,107,162.9,0.7
eegnet,none,3657608,2,9,1,0.7361,0.6481,0.6545,0.5394,,,41,95.2,0.1
eegnet,bn,3657608,2,9,1,0.7361,0.6481,0.6875,0.5833,,,41,95.2,0.1
eegnet,tent,3657608,2,9,1,0.7396,0.6528,0.6892,0.5856,,,41,95.2,0.3
eegnet,pl80,3657608,2,9,1,0.7066,0.6088,0.7031,0.6042,220,230,41,95.2,1.2
eegnet,pl90,3657608,2,9,1,0.7257,0.6343,0.6528,0.537,114,108,41,95.2,0.7
