model,test_subject,seed,seconds,accuracy,kappa,precision,recall,f1,confusion
ATCNet,7,0,451.7,0.4340277777777778,0.24537037037037035,0.5179166213919266,0.4340277777777778,0.4341931920673463,"[[53, 58, 31, 2], [14, 94, 35, 1], [18, 53, 62, 11], [3, 7, 93, 41]]"
ATCNet,8,0,811.3,0.6267361111111112,0.5023148148148149,0.6050822897305751,0.6267361111111112,0.5824362882853107,"[[127, 8, 2, 7], [17, 107, 5, 15], [58, 38, 20, 28], [9, 15, 13, 107]]"
ATCNet,9,0,305.4,0.6145833333333334,0.48611111111111116,0.6127972822593075,0.6145833333333334,0.6128905799374358,"[[109, 33, 2, 0], [21, 74, 26, 23], [25, 21, 76, 22], [3, 2, 44, 95]]"
HCT-Net,1,0,206.2,0.7274305555555556,0.6365740740740741,0.7811717407986979,0.7274305555555556,0.6951684502666791,"[[120, 22, 0, 2], [17, 127, 0, 0], [5, 12, 36, 91], [2, 3, 3, 136]]"
HCT-Net,2,0,141.2,0.2829861111111111,0.04398148148148151,0.25220710205363545,0.28298611111111105,0.2561110037289185,"[[48, 64, 9, 23], [30, 73, 24, 17], [24, 33, 6, 81], [53, 51, 4, 36]]"
HCT-Net,3,0,244.3,0.7013888888888888,0.6018518518518519,0.7117958886187806,0.7013888888888888,0.6905367856212608,"[[132, 7, 0, 5], [33, 105, 2, 4], [28, 34, 62, 20], [8, 11, 20, 105]]"
HCT-Net,4,0,373.7,0.3472222222222222,0.12962962962962965,0.43369326259661156,0.3472222222222222,0.3365693936832992,"[[54, 2, 51, 37], [23, 20, 57, 44], [11, 3, 44, 86], [13, 6, 43, 82]]"
HCT-Net,5,0,153.7,0.34375,0.125,0.36852072057295937,0.34375,0.3054409239858883,"[[91, 41, 5, 7], [51, 70, 18, 5], [65, 51, 19, 9], [73, 39, 14, 18]]"
HCT-Net,6,0,133.3,0.3298611111111111,0.10648148148148151,0.31694320562072986,0.3298611111111111,0.31558610968055667,"[[83, 14, 29, 18], [48, 26, 34, 36], [27, 25, 28, 64], [36, 19, 36, 53]]"
HCT-Net,7,0,220.0,0.3489583333333333,0.13194444444444442,0.4399696082402836,0.3489583333333333,0.3376110055915911,"[[46, 50, 43, 5], [7, 93, 41, 3], [15, 76, 45, 8], [2, 13, 112, 17]]"
HCT-Net,8,0,192.7,0.6197916666666666,0.4930555555555556,0.6563393117526976,0.6197916666666667,0.6050608063910761,"[[136, 1, 6, 1], [40, 78, 10, 16], [67, 20, 45, 12], [27, 5, 14, 98]]"
HCT-Net,9,0,275.7,0.5208333333333334,0.36111111111111116,0.5663225700185989,0.5208333333333333,0.5204207801108375,"[[63, 52, 27, 2], [17, 55, 58, 14], [9, 14, 108, 13], [4, 1, 65, 74]]"
EEGConformer,1,0,458.3,0.71875,0.625,0.7650443721813945,0.71875,0.6991197100361461,"[[94, 45, 4, 1], [5, 138, 0, 1], [1, 23, 51, 69], [2, 5, 6, 131]]"
EEGConformer,2,0,295.1,0.3159722222222222,0.08796296296296291,0.3445018996758595,0.3159722222222222,0.30741832092638544,"[[46, 18, 65, 15], [28, 22, 84, 10], [13, 5, 65, 61], [57, 6, 32, 49]]"
EEGConformer,3,0,311.4,0.671875,0.5625,0.6851799576570219,0.671875,0.6538924063394767,"[[138, 3, 0, 3], [44, 84, 0, 16], [30, 34, 54, 26], [6, 9, 18, 111]]"
EEGConformer,4,0,394.5,0.4097222222222222,0.2129629629629629,0.44342105263157894,0.4097222222222222,0.4066020942075278,"[[71, 5, 46, 22], [30, 35, 58, 21], [25, 5, 52, 62], [16, 16, 34, 78]]"
EEGConformer,5,0,426.9,0.421875,0.22916666666666663,0.4234194810669467,0.421875,0.39244730019867,"[[87, 39, 6, 12], [25, 95, 11, 13], [54, 49, 23, 18], [51, 36, 19, 38]]"
EEGConformer,6,0,286.9,0.4201388888888889,0.22685185185185186,0.4288408922000053,0.4201388888888889,0.41840550643890845,"[[72, 18, 36, 18], [37, 50, 20, 37], [18, 14, 47, 65], [21, 17, 33, 73]]"
EEGConformer,7,0,311.5,0.4513888888888889,0.2685185185185185,0.5288455222546574,0.45138888888888895,0.4651529391624627,"[[59, 44, 39, 2], [11, 65, 63, 5], [14, 35, 75, 20], [1, 7, 75, 61]]"
EEGConformer,8,0,406.7,0.6527777777777778,0.537037037037037,0.702401012412454,0.6527777777777778,0.6192999523708185,"[[139, 1, 4, 0], [32, 93, 2, 17], [87, 14, 26, 17], [18, 2, 6, 118]]"
EEGConformer,9,0,455.9,0.6302083333333334,0.5069444444444444,0.6238322947756177,0.6302083333333334,0.6247539009638574,"[[98, 40, 5, 1], [31, 63, 27, 23], [22, 12, 88, 22], [3, 0, 27, 114]]"
CTNet,1,0,500.4,0.71875,0.625,0.7414308022051767,0.71875,0.6927377312785796,"[[138, 4, 2, 0], [45, 99, 0, 0], [5, 18, 45, 76], [1, 1, 10, 132]]"
CTNet,2,0,260.0,0.3194444444444444,0.09259259259259256,0.28495281892021024,0.3194444444444445,0.2873504151123185,"[[68, 48, 16, 12], [40, 75, 20, 9], [39, 41, 7, 57], [61, 46, 3, 34]]"
CTNet,3,0,432.0,0.6267361111111112,0.5023148148148149,0.6310903897849462,0.6267361111111112,0.6022294314730802,"[[133, 4, 1, 6], [42, 101, 0, 1], [35, 51, 37, 21], [7, 21, 26, 90]]"
CTNet,4,0,301.7,0.4114583333333333,0.2152777777777778,0.4298940618252678,0.41145833333333337,0.4109118915138763,"[[70, 13, 50, 11], [37, 38, 61, 8], [13, 12, 70, 49], [13, 28, 44, 59]]"
CTNet,5,0,319.8,0.3524305555555556,0.13657407407407407,0.42621895542034494,0.3524305555555556,0.30766979004880907,"[[45, 91, 8, 0], [10, 117, 13, 4], [28, 84, 25, 7], [33, 80, 15, 16]]"
CTNet,6,0,249.7,0.421875,0.22916666666666663,0.41890016754819487,0.42187500000000006,0.3954969889820354,"[[89, 8, 16, 31], [43, 16, 39, 46], [23, 6, 67, 48], [24, 10, 39, 71]]"
CTNet,7,0,268.7,0.4913194444444444,0.3217592592592593,0.4559818612353099,0.4913194444444444,0.46333804273018064,"[[90, 37, 8, 9], [34, 82, 11, 17], [44, 31, 17, 52], [10, 12, 28, 94]]"
CTNet,8,0,323.1,0.609375,0.47916666666666663,0.622772907239819,0.609375,0.605728948470884,"[[116, 8, 14, 6], [34, 90, 10, 10], [46, 19, 68, 11], [12, 19, 36, 77]]"
CTNet,9,0,266.6,0.5677083333333334,0.42361111111111116,0.6189487234231459,0.5677083333333334,0.5694357371082921,"[[62, 80, 1, 1], [8, 106, 20, 10], [13, 39, 84, 8], [6, 9, 54, 75]]"
HCT-Net-L1,1,0,205.1,0.6649305555555556,0.5532407407407407,0.7536733001658374,0.6649305555555556,0.6122003064598259,"[[132, 10, 0, 2], [39, 105, 0, 0], [12, 17, 19, 96], [15, 2, 0, 127]]"
