model,test_subject,seed,seconds,accuracy,kappa,precision,recall,f1,confusion
V4,1,0,183.2,0.7083333333333334,0.6111111111111112,0.753030496596673,0.7083333333333333,0.6769689522424518,"[[127, 14, 1, 2], [34, 109, 1, 0], [9, 13, 37, 85], [6, 0, 3, 135]]"
V4,2,0,167.2,0.2777777777777778,0.03703703703703709,0.2739569340218029,0.2777777777777778,0.2750061826305755,"[[51, 44, 31, 18], [38, 43, 47, 16], [21, 25, 26, 72], [54, 36, 14, 40]]"
V4,3,0,196.7,0.7326388888888888,0.6435185185185186,0.7426700114562728,0.7326388888888888,0.7259794457345656,"[[132, 3, 1, 8], [24, 106, 0, 14], [23, 22, 75, 24], [10, 8, 17, 109]]"
V4,4,0,236.7,0.3923611111111111,0.18981481481481477,0.48307245734505383,0.3923611111111111,0.38767328110396254,"[[57, 5, 64, 18], [22, 27, 72, 23], [21, 0, 72, 51], [15, 5, 54, 70]]"
V4,5,0,141.2,0.3420138888888889,0.12268518518518523,0.3686459911847276,0.34201388888888884,0.29772234314567764,"[[84, 49, 6, 5], [49, 80, 9, 6], [60, 57, 21, 6], [65, 50, 17, 12]]"
V4,6,0,149.1,0.4322916666666667,0.24305555555555558,0.43422042112299464,0.43229166666666663,0.43164390756302523,"[[66, 44, 16, 18], [26, 70, 20, 28], [21, 28, 63, 32], [23, 34, 37, 50]]"
V4,7,0,197.2,0.3385416666666667,0.11805555555555558,0.3696098873030932,0.3385416666666667,0.33885736692449064,"[[69, 26, 35, 14], [26, 73, 35, 10], [34, 81, 20, 9], [13, 13, 85, 33]]"
V4,8,0,274.6,0.5954861111111112,0.46064814814814814,0.5981839496881433,0.5954861111111112,0.5568801267771677,"[[133, 8, 1, 2], [29, 101, 5, 9], [65, 46, 21, 12], [16, 24, 16, 88]]"
V4,9,0,146.5,0.5121527777777778,0.3495370370370371,0.5342270922154652,0.5121527777777778,0.51345009914078,"[[60, 75, 7, 2], [21, 61, 38, 24], [13, 22, 93, 16], [2, 3, 58, 81]]"
V5,1,0,147.6,0.4774305555555556,0.3032407407407407,0.5181826480170767,0.4774305555555555,0.40946624202221216,"[[85, 59, 0, 0], [1, 142, 1, 0], [63, 37, 38, 6], [81, 20, 33, 10]]"
V5,2,0,100.9,0.2690972222222222,0.02546296296296291,0.293676774615455,0.2690972222222222,0.20277714201375163,"[[70, 70, 4, 0], [62, 77, 4, 1], [85, 49, 5, 5], [94, 43, 4, 3]]"
V5,3,0,171.3,0.4357638888888889,0.24768518518518523,0.714178542463214,0.4357638888888889,0.36065391647261796,"[[78, 0, 0, 66], [44, 13, 0, 87], [13, 1, 16, 114], [0, 0, 0, 144]]"
V5,4,0,230.4,0.3559027777777778,0.14120370370370372,0.4519247557331364,0.3559027777777778,0.28098242733722845,"[[6, 121, 6, 11], [0, 138, 4, 2], [4, 76, 43, 21], [0, 100, 26, 18]]"
V5,5,0,95.9,0.2829861111111111,0.04398148148148151,0.14289893617021276,0.2829861111111111,0.1857558139534884,"[[104, 40, 0, 0], [85, 59, 0, 0], [99, 45, 0, 0], [88, 56, 0, 0]]"
V5,6,0,96.3,0.2864583333333333,0.04861111111111116,0.3808483935742972,0.2864583333333333,0.1995812424228473,"[[14, 7, 6, 117], [4, 14, 8, 118], [4, 4, 5, 131], [2, 5, 5, 132]]"
V5,7,0,193.3,0.2743055555555556,0.03240740740740744,0.47885777189871526,0.2743055555555555,0.2294780369687532,"[[86, 9, 49, 0], [88, 28, 28, 0], [80, 22, 42, 0], [63, 7, 72, 2]]"
V5,8,0,151.5,0.6024305555555556,0.46990740740740744,0.7175129329734593,0.6024305555555556,0.6031569360057732,"[[68, 5, 14, 57], [0, 92, 4, 48], [4, 12, 54, 74], [0, 5, 6, 133]]"
V5,9,0,150.6,0.5364583333333334,0.3819444444444444,0.5829286972671336,0.5364583333333334,0.5177840707766048,"[[52, 60, 10, 22], [9, 46, 31, 58], [1, 12, 76, 55], [0, 0, 9, 135]]"
