model,test_subject,seed,seconds,accuracy,kappa,precision,recall,f1,confusion
FBCSP,1,0,49.7,0.4565972222222222,0.2754629629629629,0.34531429028465993,0.4565972222222222,0.38761893124796354,"[[95, 46, 2, 1], [39, 105, 0, 0], [34, 47, 63, 0], [48, 30, 66, 0]]"
FBCSP,2,0,45.6,0.2777777777777778,0.03703703703703709,0.30816995297898286,0.2777777777777778,0.24640697236238637,"[[59, 57, 27, 1], [52, 67, 24, 1], [83, 26, 29, 6], [75, 36, 28, 5]]"
FBCSP,3,0,45.5,0.6059027777777778,0.4745370370370371,0.6400230958654872,0.6059027777777778,0.6123901946818613,"[[103, 0, 6, 35], [20, 78, 7, 39], [9, 12, 79, 44], [12, 9, 34, 89]]"
FBCSP,4,0,46.1,0.3784722222222222,0.17129629629629628,0.3750589540303478,0.3784722222222222,0.36686424203978824,"[[54, 51, 20, 19], [22, 82, 28, 12], [20, 30, 24, 70], [14, 54, 18, 58]]"
FBCSP,5,0,46.4,0.2795138888888889,0.03935185185185186,0.22836717920004596,0.2795138888888889,0.19158963585434172,"[[121, 19, 4, 0], [101, 32, 11, 0], [118, 18, 8, 0], [116, 25, 3, 0]]"
FBCSP,6,0,46.4,0.3298611111111111,0.10648148148148151,0.3806710415670259,0.3298611111111111,0.30977626447011086,"[[27, 10, 41, 66], [14, 24, 42, 64], [13, 7, 53, 71], [8, 8, 42, 86]]"
FBCSP,7,0,45.6,0.2760416666666667,0.03472222222222221,0.3675806677399034,0.2760416666666667,0.21682333628964826,"[[54, 84, 2, 4], [48, 92, 3, 1], [23, 114, 5, 2], [32, 100, 4, 8]]"
FBCSP,8,0,47.3,0.3576388888888889,0.1435185185185185,0.6438511948248195,0.35763888888888884,0.31862254844882554,"[[10, 0, 46, 88], [0, 32, 67, 45], [0, 1, 59, 84], [0, 0, 39, 105]]"
FBCSP,9,0,47.7,0.5243055555555556,0.3657407407407407,0.5881004506019392,0.5243055555555556,0.49823157380243155,"[[55, 28, 31, 30], [7, 28, 89, 20], [3, 3, 130, 8], [0, 0, 55, 89]]"
