model,test_subject,seed,seconds,accuracy,kappa,precision,recall,f1,confusion
HCT-Net-ADV,1,0,620.5,0.7291666666666666,0.6388888888888888,0.7352707298413297,0.7291666666666667,0.7146434536140418,"[[124, 18, 0, 2], [26, 117, 1, 0], [9, 16, 57, 62], [3, 1, 18, 122]]"
HCT-Net-ADV,2,0,509.9,0.3315972222222222,0.10879629629629628,0.333046267535142,0.33159722222222227,0.3311651179061165,"[[49, 40, 41, 14], [26, 57, 48, 13], [19, 31, 43, 51], [44, 35, 23, 42]]"
HCT-Net-ADV,3,0,288.7,0.7430555555555556,0.6574074074074074,0.7506053589400165,0.7430555555555556,0.7380805817307603,"[[124, 4, 2, 14], [16, 110, 2, 16], [7, 27, 74, 36], [0, 4, 20, 120]]"
HCT-Net-ADV,4,0,399.1,0.3663194444444444,0.15509259259259256,0.45118624909556637,0.3663194444444445,0.3640268325623016,"[[41, 7, 86, 10], [18, 34, 76, 16], [10, 4, 85, 45], [15, 9, 69, 51]]"
HCT-Net-ADV,5,0,279.9,0.3038194444444444,0.0717592592592593,0.33784687451504003,0.3038194444444445,0.2514015991709306,"[[37, 95, 8, 4], [17, 107, 18, 2], [38, 79, 24, 3], [47, 70, 20, 7]]"
HCT-Net-ADV,6,0,253.8,0.328125,0.10416666666666663,0.3171530347048064,0.328125,0.3124529766697668,"[[74, 15, 24, 31], [44, 28, 33, 39], [27, 24, 23, 70], [39, 18, 23, 64]]"
HCT-Net-ADV,7,0,282.7,0.40625,0.20833333333333337,0.4473576781482679,0.40625,0.40364460045789063,"[[80, 44, 18, 2], [36, 83, 22, 3], [33, 76, 22, 13], [6, 16, 73, 49]]"
HCT-Net-ADV,8,0,562.1,0.6371527777777778,0.5162037037037037,0.6860823343781013,0.6371527777777777,0.627258419405468,"[[135, 2, 6, 1], [34, 87, 13, 10], [81, 10, 45, 8], [25, 8, 11, 100]]"
HCT-Net-ADV,9,0,341.7,0.5503472222222222,0.4004629629629629,0.5612598885708129,0.5503472222222223,0.5523135496501788,"[[76, 63, 3, 2], [23, 62, 37, 22], [17, 20, 90, 17], [3, 2, 50, 89]]"
